	Query	Result	Tweet	Id	User	Date	Hashtags	Cluster	TopicRichness	Words
0	test	1	"""As the @WHO's Dr. Tedros said very emphatically at the very outset: “Test, test, test”. As a physician, I wish he’… https://t.co/n3Dn2NwnlE"	5710	manigreeva	Sun Nov 22 11:12:43 +0000 2020	[]	0.0	9.512778224714583e-05	who dr tedro said emphat outset test test test physician wish
1	test	2	"Loeffler tests positive for Covid but undergoing further testing
https://t.co/5ulPDNmhne"	9774	bote930	Sun Nov 22 11:26:46 +0000 2020	[]	0.0	0.0018463648458519586	loeffler test posit covid undergo test
2	test	3	@mel_faith1 The thing is is there is NO test for Covid! The test is for a virus only	6685	susanlee52	Sun Nov 22 11:16:15 +0000 2020	[]	0.0	-0.00032220929354842965	mel_faith1 thing test covid test viru
3	test	4	Testing. Testing. Covid/TheDanes: 'They kept it up for a month.1.8% of mask wearers tested positive &amp; 2.1% of the u… https://t.co/Oc5tGJDuuH	3034	Fuerza_Mundial	Sun Nov 22 11:04:34 +0000 2020	[]	0.0	0.0007356799139667318	test test covidthedan kept month18 mask wearer test posit amp 21 u
4	test	5	"Loeffler tests positive for Covid but undergoing further testing
https://t.co/c06EbCUbZA"	472	DeeFonta	Sun Nov 22 10:56:01 +0000 2020	[]	0.0	0.005544894615846776	loeffler test posit covid undergo test
5	test	6	@GBPublicHealth Is every patient that takes a Covid test taking a flu test too? Did you stop testing for the flu al… https://t.co/mTMNKwvEox	7144	theresabeverag1	Sun Nov 22 11:17:51 +0000 2020	[]	0.0	0.0001079470604193416	gbpublichealth everi patient take covid test take flu test stop test flu al
6	test	7	"Georgia Sen. Kelly Loeffler tests positive for Covid but is undergoing further testing.
https://t.co/rYLPlhyaQw"	4668	MrsVSNC09	Sun Nov 22 11:09:31 +0000 2020	[]	0.0	0.00021246960902998092	georgia sen kelli loeffler test posit covid undergo test
7	test	8	KARMA.......Georgia Sen. Kelly Loeffler tests positive for Covid but is undergoing further testing - CNN… https://t.co/JFRCgDaqko	7420	m0m19001	Sun Nov 22 11:18:43 +0000 2020	[]	0.0	-2.3258388781474113e-05	karmageorgia sen kelli loeffler test posit covid undergo test cnn
8	test	9	@safiume Or better testing: https://t.co/Iaif2cdF7b	7096	nahumshalman	Sun Nov 22 11:17:39 +0000 2020	[]	0.0	1.5596213889095625e-05	safium better test
9	test	10	#YEDNOnCovid19 have you been tested for #coronavirus ?if not ,visit the #coronavirus center to get tested?… https://t.co/dt3dDD20xd	6591	MutieMumbua	Sun Nov 22 11:16:00 +0000 2020	['YEDNOnCovid19', 'coronavirus', 'coronavirus']	0.0	-0.0002665741964422599	yednoncovid19 test coronaviru visit coronaviru center get test
10	test	11	...and testing negative for ethics.	5072	DanDiego	Sun Nov 22 11:10:43 +0000 2020	[]	0.0	-0.00047904748160322987	test neg ethic
11	test	12	@DailyMirror Mass testing should not stop at 2 test but should be continuously carried out until we know where the virus is and who has it .	4722	STSIMON95984452	Sun Nov 22 11:09:40 +0000 2020	[]	0.0	-0.00026378831698467195	dailymirror mass test stop 2 test continu carri know viru
12	test	13	@JonLoflin that's the problem.  this test cannot tell and as virus is more spread in a population, the % of tests t… https://t.co/A0Kd0X4xeF	3450	boriquagato	Sun Nov 22 11:05:43 +0000 2020	[]	0.0	-0.00028522254319739924	jonloflin that problem test cannot tell viru spread popul test
13	test	14	Over 170 million coronavirus tests have already been given in the U.S. and it’s territories. The tests are availabl… https://t.co/mNXppr2AQp	1342	suebrown1212	Sun Nov 22 10:58:53 +0000 2020	[]	0.0	-0.00046320579387470166	170 million coronaviru test alreadi given us territori test availabl
14	test	15	"𝗡𝗲𝗽𝗮𝗹 𝗖𝗢𝗩𝗜𝗗-𝟭𝟵 𝗦𝘁𝗮𝘁𝘂𝘀
Tests (PCR): 1,660,075
Tests (RDT): 312,402
Positive: 220,308
Recovered: 199,024
In Isolation… https://t.co/UZeNF075zy"	7624	NepalCorona	Sun Nov 22 11:19:23 +0000 2020	[]	0.0	0.00018272871298968536	test pcr 1660075 test rdt 312402 posit 220308 recov 199024 isol
15	test	16	Kelly Loeffler tests positive for Covid but undergoing further testing - CNNPolitics #Mtnews #Georgia #CDC  https://t.co/BevWrVugTC	7098	stewardmagazine	Sun Nov 22 11:17:41 +0000 2020	['Mtnews', 'Georgia', 'CDC']	0.0	-0.0004969932538576234	kelli loeffler test posit covid undergo test cnnpolit mtnew georgia cdc
16	test	17	"“Testing doesn’t matter” -my family in reference to COVID testing before any thanksgiving plans...... 

Word... whe… https://t.co/aOnzp7EccS"	5700	megadillo	Sun Nov 22 11:12:42 +0000 2020	[]	0.0	3.294920318003694e-05	test doesnt matter famili refer covid test thanksgiv plan word whe
17	test	18	@jksmith34 Test and trace is a joke everywhere and testing someone for a virus that can catch a minute after the te… https://t.co/iEpxhLsWzb	4881	SFotonium	Sun Nov 22 11:10:08 +0000 2020	[]	0.0	-3.818399839290601e-05	jksmith34 test trace joke everywher test someon viru catch minut te
