	Query	RankRes	RerankRes	Tweet	User	Date	Hashtags	Cluster	TopicRichness	Words
0	test	5	1	"Loeffler tests positive for Covid but undergoing further testing
https://t.co/c06EbCUbZA"	DeeFonta	Sun Nov 22 10:56:01 +0000 2020	[]	0.0	0.005544894615846776	loeffler test posit covid undergo test
1	test	44	2	Jesus H Christ it's worse than I thought! Never mind a covid test, this guy needs to have an IQ test twice a week.	PrimLikeARose	Sun Nov 22 10:54:42 +0000 2020	[]	0.0	0.005485703194656347	jesu h christ wors thought never mind covid test guy need iq test twice week
2	test	92	3	Breaking: Loeffler self-isolating after mixed coronavirus test results https://t.co/x2YfWTfJb5	JClickbaited	Sun Nov 22 10:57:43 +0000 2020	[]	0.0	0.0023553949569966384	break loeffler selfisol mix coronaviru test result
3	test	2	4	"Loeffler tests positive for Covid but undergoing further testing
https://t.co/5ulPDNmhne"	bote930	Sun Nov 22 11:26:46 +0000 2020	[]	0.0	0.0018099505249776567	loeffler test posit covid undergo test
4	test	25	5	"COVID testing workers needed for mass departure testing programme.
Find out more and apply for the role:… https://t.co/7kvGczY9c2"	UoNCareers	Sun Nov 22 11:00:27 +0000 2020	[]	0.0	0.001273754892719232	covid test worker need mass departur test programm find appli role
5	test	24	6	"COVID-19 symptoms? Get tested.
How? Drop in to a drop-in testing clinic. No appointment or referral needed.
Where?… https://t.co/TrabvMZm5w"	PEIwellness	Sun Nov 22 11:00:39 +0000 2020	[]	0.0	0.0008455250753981433	covid19 symptom get test drop dropin test clinic appoint referr need
6	test	95	7	Frequent, rapid testing can curb Covid-19 transmission within weeks: Study https://t.co/w8zFo3N2BI	India_NewsLive	Sun Nov 22 11:21:27 +0000 2020	[]	0.0	0.0008369674199248415	frequent rapid test curb covid19 transmiss within weeksstudi
7	test	4	8	Testing. Testing. Covid/TheDanes: 'They kept it up for a month.1.8% of mask wearers tested positive &amp; 2.1% of the u… https://t.co/Oc5tGJDuuH	Fuerza_Mundial	Sun Nov 22 11:04:34 +0000 2020	[]	0.0	0.0007255492716783944	test test covidthedan kept month18 mask wearer test posit amp 21 u
8	test	68	9	"@GOVUK Why is the government lying about the reliability of PCR testing?
https://t.co/8DW9i2Ato2"	JoeMcA90	Sun Nov 22 11:19:29 +0000 2020	[]	0.0	0.000611492139616731	govuk govern lie reliabl pcr test
9	test	53	10	"UP to test people coming in from Delhi for COVID-19
https://t.co/3Fkp6WwRgS"	digiworldblog	Sun Nov 22 11:20:37 +0000 2020	[]	0.0	0.0005701402243481313	test peopl come delhi covid19
